Crash Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Fatalities(ground),Sum of Fatalities (air),Sum of Aboard
2/9/1982,Philippines,Douglas,Douglas DC 3 (C,Mt. Ipao Philippines,Trans Air Services,0,3,32
2/19/1982,Colombia,Douglas,Douglas DC 6BFHK,Cerro el Tablazo Colombia,Columbia LAC,0,4,4
2/21/1982,Rhode Island,de Havilland DHC,de Havilland DHC  6,Providence Rhode Island,Pilgrim Airlines,0,1,12
3/11/1982,Norway,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300LN,Mehamn Norway,Flyveselksap Wideroe's,0,15,15
3/19/1982,Florida,Beechcraft Bonanza,Beechcraft Bonanza F35N567LT,Leesburg Florida,Private,0,3,3
3/19/1982,Illinois,Boeing,Boeing KC 135C58,Near Woodstock Illinois,U.S. Air Force - Military,0,27,27
3/20/1982,Indonesia,Fokker,Fokker F 28 Fellowship 1000PK,Branti Airport Indonesia,Garuda Indonesia Airlines,0,27,27
3/26/1982,Colombia,Vickers Viscount,Vickers Viscount 745DHK 2382,Queate Colombia,Colombia Aeropesca,0,21,21
4/11/1982,Alaska,Hughes,Hughes 369DN11058,Near Tanana Alaska,Copters Tundra - Taxi Air,0,3,3
4/13/1982,Turkey,Lockheed,Lockheed C 130H74,Near Erzurum Turkey,U.S. Air Force - Military,0,27,27
4/26/1982,Guangxi,Hawker Siddeley Trident,Hawker Siddeley Trident 2EB 266,Near Yangshuo Guangxi,China CAAC,0,112,112
4/30/1982,Gulf of Thailand,Sikorsky,Sikorsky S 76C,Gulf of Thailand Okanagan Helicopters,Okanagan Helicopters,0,13,13
5/9/1982,Yemen,de Havilland Canada,de Havilland Canada DHC 7,Off Aden Yemen,Alyemda,0,47,49
5/12/1982,Arkansas,Lockheed,Lockheed C 130E Hercules64,Judsonia Arkansas,U.S. Air Force - Military,0,7,7
5/19/1982,South Atlantic Ocean,Westland Sea King,Westland Sea King HC 4 (helicopter)ZA,South Atlantic OceanMilitary - Royal British Navy,Royal British Navy - Military,0,21,30
5/25/1982,Brazil,Boeing,Boeing B 737,Brazilia Brazil,VASP,0,2,118
