Crash Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Fatalities(ground),Sum of Fatalities (air),Sum of Aboard
1952-08-26,West Virgin Islandsia,Bristol 170,Bristol 170 FreighterG783,Near Khewra West Virgin Islandsia,Force Air Pakistan - PakistanMilitary,0,18,18
1952-08-29,Sudan,Douglas,Douglas DC 2,Kosti Sudan,Phoenix Airlines,0,2,4
1952-09-06,England,De Havilland,de Havilland 110WG235,Near Farnsborough England,de Havilland Aircraft - Private,29,1,1
1952-09-10,Panama,Curtiss,Curtiss C 46?,San Blas Panama,Colombia SAM,0,46,46
1952-09-15,Sudan,Douglas,Douglas C 47AVT,Wadi Halfa Sudan,Kalinga Airlines,0,3,3
1952-10-05,Russia,Ilyushin,Ilyushin IL 12L1328,Skvoritsy Russia,Aeroflot,0,21,21
1952-10-08,Scotland,Avro Shackleton,Avro Shackleton MR 1VP286,Off Tarbat Ness Scotland,Force Air Royal - Military,0,14,14
1952-10-14,Brazil,Douglas,Douglas DC 3PP,San Fransisco do Paula Brazil,Brasil Aero,0,14,28
1952-10-16,South Korea,Curtiss,Curtiss  Wright C,Off Kangnung South Korea,U.S. Air Force - Military,0,25,25
1952-10-29,Arizona,Boeing,Boeing KC 97G Stratofreighter52,Near Flagstaff Arizona,U.S. Air Force - Military,0,16,16
1952-11-06,Chad,Douglas,Douglas C 54B,Lake Chad Chad,Transport de Aeromaritime Union,0,5,6
1952-11-07,Alaska,Fairchild,Fairchild C 119C51,Near Summit Alaska,U.S. Air Force - Military,0,19,19
1952-11-14,South Korea,Fairchild,Fairchild C 119C51,Near Seoul South Korea,U.S. Air Force - Military,0,44,44
1952-11-15,Alaska,Fairchild,Fairchild C 119C51,Near Anchorage Alaska,U.S. Air Force - Military,0,20,20
1952-11-17,Montana,Fairchild,Fairchild C 119C,Shepard Montana,U.S. Air Force - Military,0,9,16
1952-11-22,Alaska,Douglas,Douglas C 124A Globemaster51,Mount Gannett Alaska,U.S. Air Force - Military,0,52,52
1952-11-28,Washington,Douglas,Douglas C 54G (DC,Near Tacoma Washington,U.S. Air Force - Military,0,37,38
1952-12-06,Bermuda,Douglas,Douglas DC 4CU,Off Bermuda-Kindley Field Bermuda,Aviacion de Cubana,0,37,41
1952-12-06,Bugaria,Lisunov,Lisunov Li 2?,Near Sofia Bugaria,TABSO,0,18,18
1952-12-20,Washington,Douglas,Douglas C 124A Globemaster50,Moses Lake Washington,U.S. Air Force - Military,0,87,115
1952-12-21,Florida,Curtiss,Curtiss C 46DYV,Off Miami Florida,SA Nacionales Aéreas Rutas,0,3,3
1952-12-22,Syria,Douglas,Douglas DC 3?,Damascus Syria,Syrian Air,0,9,0
1952-12-25,Venezuela,Douglas,Douglas DC 3YV,Off Caracas Venezuela,Avensa,0,3,5
1952-12-25,Iran,Douglas,Douglas DC 3EP,Tehran Iran,Iran Air,0,27,29
1952-12-30,Taiwan,Douglas,Douglas DC 3PI,Chinmen Island Taiwan,Philippine Air Lines,0,2,10
1953-01-05,Northern,Vickers Viking,Vickers Viking 610 1BG,Belfast Northern,Airways European IrelandBritish,0,27,35
1953-01-07,Idaho,Curtiss,Curtiss C 46N1648M,Fish Haven Idaho,Associated Air transport,0,40,40
1953-01-07,Washington,Douglas,Douglas C 54B,Issaquah Washington,Line Tiger Flying,0,7,7
1953-01-15,Italy,Vickers Valetta Mk1 / Avero LancasterVX562 /,Vickers Valetta Mk1 / Avero LancasterVX562 / TX270,25 nm off Agrigento Italy,Force Air -Royal Military,0,26,26
1953-01-26,Sardinia,Douglas,Douglas DC 3I,Sinnai Sardinia,Italy Linee Aeree Italiane,0,19,19
1953-02-02,Canada,Avro 685 York,Avro 685 York 1G AHFA,Off U.S.A.foundland Canada,Lancashire Aircraft Corporation (Skyways),0,39,39
1953-02-03,Vietnam,Douglas,Douglas C 47B,Lai Chau Vietnam,Outremer Air,0,18,18
1953-02-07,France,Douglas,Douglas C 54A,Bordeaux France,UTA,0,9,19
1953-02-09,Egypt,Curtiss,Curtiss  Wright C,Cairo Egypt,Force Air Egyptian - Military,0,29,40
1953-02-14,Alabama,Douglas,Douglas DC 6N90893,Off Mobile Alabama,National Airlines,0,46,46
1953-03-03,Pakistan,de Havilland DH106 Comet,de Havilland DH106 Comet 1ACF CUN,Karachi Pakistan,Canadian Pacific Air Lines,0,11,11
1953-03-04,Connecticut,Curtiss,Curtiss C 46FN4717N,Windsor Locks Connecticut,Airways Slick,0,2,2
1953-03-14,India,Convair,Convair CV 240,Kalasahar India,Airways Orient,0,16,16
1953-03-17,Vietnam,Douglas,Douglas DC 3F,Off Da Nang Vietnam,Azur Aigle,0,8,8
1953-03-18,U.S.A.foundlandu.s.,Boeing,Boeing B 29 Superfortress44,Stephenville Newfoundlandu.s.,Force Air,0,10,10
1953-03-18,U.S.A.foundland,Convair,Convair RB 36H51,Random Island Newfoundland,U.S. Air Force - Military,0,23,23
1953-03-20,California,Douglas,Douglas DC 4  (C,Alvarado California,Transocean Air Lines,0,35,35
1953-03-27,Brazil,De Havilland,de Havilland DH 114 Heron 1BPP,Itapebi Brazil,Salvador Aéreos Transportes,0,14,14
1953-03-29,Tanganyika,Vickers 616 Viking,Vickers 616 Viking 1BVP YEY,Mtara Tanganyika,Airways African Central,0,13,13
1953-04-10,Madagascar,Junkers,Junkers JU 5/,Miandivazo Madagascar,Air France,0,4,15
1953-04-10,Jamaica,Lockheed,Lockheed 18 56 LodeStarVP,Off Kingston Jamaica,Airways International Caribbean,0,13,13
1953-04-10,Brazil,Doublas,Doublas Dc 3?,Near Anchieta Island Brazil,REAL,0,26,0
1953-04-14,India,Douglas,Douglas C 47AVT,Near Guwahati India,Airways,0,3,3
1953-04-14,Washington,Douglas,Douglas DC 3 (C,Selleck Washington,Miami Airlines,0,7,25
1953-04-16,Vietnam,Douglas,Douglas DC 3F,NW of Hanoi Vietnam,Azur Aigle,0,30,30
1953-04-20,California,Douglas,Douglas DC 6BN91303,San Francisco Bay California,Western Airlines ,0,8,10
1953-05-02,West Virgin Islandsia,de Havilland DH106 Comet,de Havilland DH106 Comet 1G ALYV,Near Jalalogori West Virgin Islandsia,India          Bengal British Overseas Airways,0,43,43
1953-05-07,England,Vickers Valetta,Vickers Valetta T 3WG258,Off Hartland Point England,Force Air Royal - Military,0,10,10
1953-05-09,India,Douglas,Douglas DC 3VT,New Delhi India,India Air,0,18,18
1953-05-11,BC,Consolidated,Consolidated PBY 5A CatalinaCF,Prince Rupert BC,Canada Canadian Pacific Air Lines,0,2,19
1953-05-17,Texas,Douglas,Douglas DC 3N28345,Near Marshall Texas,Delta Air Lines ,0,19,20
1953-05-24,Missouri,Douglas,Douglas DC 3N53596,St. Louis Missouri,Meteor Air,0,6,7
1953-05-25,Netherlands,Convair,Convair CV 240,Amsterdam Netherlands,Royal Dutch Airlines KLM,2,0,34
1953-05-27,Russia,Li,Li  2 / Li,Goose Wade Russia,Aeroflot,0,20,20
1953-06-14,Georgia,Ilyushin,Ilyushin IL 2CCCP,Near  Zugdidi Georgia,Aeroflot,0,18,18
1953-06-15,Chile,Lockheed 18,Lockheed 18 LoadstarCC CLD,Near Reo Copiapo Chile,Chile Lan,0,7,7
1953-06-15,Costa Rica,Douglas,Douglas DC 3TI,San Ramon Mtns. Costa Rica,LACSA,0,9,17
1953-06-16,French,Douglas,Douglas DC 3F,Mount Phou-Lassy French,Azur Indo-ChinaAigle,0,34,34
1953-06-17,Brazil,Lockheed,Lockheed 049 46,Sao Paulo Brazil,Brasil do Panair,0,17,17
1953-06-18,Tokyo,Douglas,Douglas C 124A Globemaster II51,Tachikawa AFB Tokyo,Japan Military - U.S. Air Force,0,129,129
1953-07-12,Pacific Ocean,Douglas,Douglas DC 6AN90806,325 miles east of wake island,Transocean Air Lines,0,58,58
1953-07-17,Florida,Fairchild,Fairchild R4Q 2131663,Near Milton Florida,U.S. Navy - Military,0,44,46
1953-07-27,North,Ilyushin,Ilyushin IL 12?,Near Kanggye North,KoreaAeroflot,0,21,21
1953-08-03,Turkey,Lockheed,Lockheed L  749A ConstellationF,Off Fethiye Point Turkey,Air France,0,4,42
1953-08-03,United Arab Emirates,Douglas,Douglas DC 3AP,Sharjah United Arab Emirates,Airways EmiratesOrient Arab,0,1,25
1953-08-05,Ireland,Convair,Convair B 3652,Off Irish coast,U.S. Air Force - Military,0,19,23
1953-08-18,California,Curtiss,Curtiss C 46AXA,Near San Diego California,Contreras Aerovias,0,2,2
1953-09-01,France,Lockheed 749A,Lockheed 749A ConstellationF BAZZ,Near Barcelonnette France,Air France,0,42,42
1953-09-01,Washington,Douglas,Douglas DC 3N19941,Vail Washington,Regina Cargo Airlines,0,21,21
1953-09-08,Honduras,Douglas,Douglas C 47AXH,San Andres Honduras,TACA,0,3,3
1953-09-14,Mexico,Douglas,Douglas C 47AXA,Chablekal Mexico,Mexicanos Aéreos Transportes,0,1,2
1953-09-16,U.S.A.,Convair,Convair CV 240,Albany New York,American Airlines,0,28,28
1953-09-25,Turkey,Douglas,Douglas DC 3TC,Ankara Turkey,Devlet Hava Yollairi,0,5,21
1953-09-28,Kentucky,Curtiss,Curtiss C 46F,Louisville Kentucky,Resort Airlines,0,25,41
1953-10-14,Germany,Convair,Convair CV 240,Frankfurt Germany,Sabena,0,44,44
1953-10-17,Vietnam,Douglas,Douglas C 47BF,Lai Chau Vietnam,Sila Compagnie,0,2,7
1953-10-19,Mexico,Douglas,Douglas C 46A,Near Monterrey Mexico,Contreras Aerovias,0,21,21
1953-10-19,U.S.A.,Lockheed 749A,Lockheed 749A ConstellationN119A,New York City,Eastern Air Lines,0,2,27
1953-10-27,Russia,Ilyushin,Ilyushin IL 12L1765,Near Magadan Russia,Aeroflot,0,22,32
1953-10-29,California,Douglas,Douglas DC 6VH,Near Half Moon Bay California,British Commonwealth Pacific Airlines,0,19,19
1953-10-31,Russia,Li,Li  2L4732,Kharkov. Ukraine Russia,Aeroflot,0,15,16
1953-11-03,Bolivia,Douglas,Douglas DC 3CP,Tarabuco Bolivia,Boliviano Aereo Lloyd,0,28,28
1953-11-11,Scotland,Avro Shackleton,Avro Shackleton MR 2WL746,Off Argyll Scotland,Force Air Royal - Military,0,10,10
1953-12-04,Spain,Bristol 170 Freighter,Bristol 170 Freighter 21EC AEG,Near Guaderrama Spain,Aviaco,0,23,33
1953-12-12,India,Douglas,Douglas DC 3VT,Nagpur India,Indian Airlines,0,13,14
1953-12-15,Guatemala,Curtiss,Curtiss C 46DTG,Tecpan Mt. Guatemala,Aviateca,0,2,2
1953-12-15,Egypt,VC,VC  VikingSU,Near Cairo Egypt,Misair,0,6,6
1953-12-17,Mariana,Boeing,Boeing B 2944,Guam Mariana Islands,U.S. Air Force - Military,8,11,16
1953-12-19,Switzerland,Convair,Convair CV 240OO,Zurich Switzerland,Sabena,0,1,44
1953-12-21,Syria,Douglas,Douglas DC 3YK,Dah-el-Kadeeb Syria,Airways Syrian,0,9,15
1954-01-02,Afghanistan,Douglas,Douglas DC 3?,Herat Afghanistan,Ariana Afghan Airlines,0,21,21
1954-01-05,Turkey,Douglas,Douglas DC 3TC,Lapseki Turkey,Devlet Hava Yollairi,0,4,10
1954-01-06,England,Vickers,Vickers ValettaWJ474,Near Aldbury England,Force Air -Royal Military,0,16,17
1954-01-10,Italy,de Havilland DH106 Comet,de Havilland DH106 Comet 1G ALYP,Off Elba Italy,Airways Overseas British,0,35,35
1954-01-11,Colombia,Douglas,Douglas DC 3HK,Manizales Colombia,Avianca,0,21,21
1954-01-12,Czech Republic,Douglas,Douglas C 47 Skytrain (DC,Prague Czech Republic,Czech Republic Airlines,0,13,18
1954-01-13,California,F,F  88 Sabre Jet?,Signal Hill California,U.S. Air Force - Military,6,1,1
1954-01-14,Italy,Douglas,Douglas DC 6PI,Rome Italy,Philippine Air Lines,0,16,16
1954-01-20,Missouri,Douglas,Douglas DC 3AN49551,Kansas City Missouri,Zantop Air Transport,0,3,3
1954-02-01,Japan,Curtiss,Curtiss  Wright C46D,Off Hokkaido Japan,U.S. Air Force - Military,0,35,35
1954-02-05,Alaska,Douglas,Douglas C 475895,Susitna Valley Alaska,U.S. Air Force - Military,0,10,16
1954-02-12,Malta,Avro Shackleton,Avro Shackleton MR 2WL794,Off Gozo Malta,Force Air Royal - Military,0,10,10
1954-02-25,India,Douglas,Douglas DC 3VT,New Delhi India,Indian Airlines,0,3,3
1954-02-26,Wyoming,Convair,Convair CV 240N8407H,Wright Wyoming,Western Airlines ,0,9,9
1954-03-04,France,Douglas,Douglas C 47A,Near St. Etienne de Tinee France,U.S. Air Force - Military,0,20,20
1954-03-13,Singapore,Lockheed,Lockheed 749A 79,Kallang Airport Singapore,Airways Overseas British,0,33,40
1954-03-13,South,C,C  46?,Dien Bien Phu South,Azur VietnamAigle,0,0,0
1954-03-14,Australia,Douglas,Douglas C 47AVH,Off Mackay Australia,Queensland Airlines,0,2,2
1954-03-19,Maryland,Fairchild,Fairchild C 110F51,Near Lothian Maryland,U.S. Air Force - Military,0,18,18
1954-03-26,Mexico,Douglas,Douglas DC 3XA,Monterrey Mexico,Mexico de Aeronaves,0,18,18
1954-04-03,Turkey,Douglas,Douglas DC 3TC,Kabassaak Turkey,Devlet Hava Yollairi,0,25,25
1954-04-04,Vietnam,Douglas,Douglas C 54AF,Hanoi Vietnam,Autrex,0,4,4
1954-04-08,SK,Canadair,Canadair C 4,Moose Jaw SK,Canada Trans Canada Air Lines / RCAF,1,36,36
1954-04-08,Italy,de Havilland DH106 Comet,de Havilland DH106 Comet 1G ALYY,Off Stromboli Italy,leased from British Overseas Airways         Airways African South,0,21,21
1954-04-13,Chile,Douglas,Douglas DC 3956,Batuco Chile,LAN,0,14,14
1954-04-13,Laos,Lockheed 18,Lockheed 18 LodestarF OALK,Xieng Kouang Laos,Raviteillement de Indochinoise Societe,0,16,23
1954-04-23,Argentina,Douglas,Douglas DC 3LV,Sierra del Vilgo Argentina,Argentinas Aerolineas,0,25,25
1954-04-30,India,Douglas,Douglas C 47A,Near Calcutta India,Aviation Darbhanga,0,5,11
1954-05-22,U.S.A.,Douglas,Douglas DC 3ZK,Paraparaumu New,Airways National Zealand ZealandNew,0,3,28
1954-05-31,Brazil,Douglas,Douglas DC 3PP,Cipo Mountain Brazil,Nacionales Aereos Transportes,0,19,19
1954-06-03,Slovenia,Douglas,Douglas C 47AOO,Near Maribor Slovenia,Sabena,0,1,4
1954-06-04,Brazil,Curtiss,Curtiss C 46APP,Sao Paulo Brazil,Varig,0,3,3
1954-06-08,Vietnam,Douglas,Douglas C 47,Da Nang Vietnam,Orient d'Extrême Aériens Tr. de Soc.,0,4,4
1954-06-19,England,Convair,Convair CV 240,Off Folkestone England,Swissair,0,3,9
1954-07-02,Brazil,Lockheed,Lockheed C 28C,Near Salvador Brazil,Force Air Brazilian - Military,0,24,24
1954-07-23,China,Douglas,Douglas DC 4VR,Off Hainan Island China,Airways Pacific Cathay,0,10,18
1954-08-08,Alaska,Douglas,Douglas DC 2N91008,Near McGrath Alaska,Alaska Airlines,0,2,2
1954-08-09,Azores,Lockheed,Lockheed 749A 79 ConstellationHK,Terceira Island Azores,Portugal AVIANCA,0,30,30
1954-08-12,Vietnam,Douglas,Douglas DC 3F,VietnamAutrex,Autrex,0,3,3
1954-08-16,Laos,Bristol 170 Freighter,Bristol 170 Freighter 21EF VNAI,Near Pakse Laos,Air South Vietnam,0,47,55
1954-08-22,Iowa,Douglas,Douglas DC 3N61451,Near Mason City Iowa,Braniff Airlines,0,12,19
1954-08-23,North Sea,Douglas,Douglas DC 6BPH,Off IJuuiden North Sea,KLM Royal Dutch Airlines,0,21,21
1954-08-26,Russia,Lisunov,Lisunov LI 2CCCP,Sakhalin Oblast Russia,Aeroflot,1,26,27
1954-08-27,South Dakota,Convair,Convair RB 36H51,Near Rapid City South Dakota,U.S. Air Force - Military,0,26,27
1954-09-05,Ireland,Lockheed,Lockheed 1049C 55,Foynes Ireland,Royal Dutch Airlines KLM,0,28,56
1954-09-12,Brazil,Douglas,Douglas DC 3PP,Off Rio de Janeiro Brazil,Cruzeiro,0,6,26
1954-09-15,Egypt,Vickers 634,Vickers 634 VikingSU AFO,Cairo Egypt,Misrair,0,3,4
1954-09-27,Russia,Ilyushin,Ilyushin IL 12CCCP,Novosibirsk Russia,Aeroflot,0,29,29
1954-10-24,Italy,Douglas,Douglas C 47A,Near Nice Italy,U.S. Air Force - Military,0,21,21
1954-10-28,Russia,Ilyushin IL,Ilyushin IL  12 CCCP,Krasnoyarsk Territory Russia,Aeroflot,0,16,16
1954-10-30,Maryland,Lockheed,Lockheed R7V 1128441,Off Ocean City Maryland,U.S. Navy - Military,0,42,42
1954-10-31,Australia,Vickers 720,Vickers 720 ViscountVH TVA,Mangalore Australia,TAA,0,3,8
1954-11-16,de,Douglas,Douglas DC 3FAP,Jirishanga de,Peru          Pasco TAM (Brazil),0,24,24
1954-11-30,New Hampshire,Douglas,Douglas DC 3N17891,Berlin New Hampshire,Northeast Airlines,0,2,7
1954-12-04,Laos,Douglas,Douglas DC 3F,Near Luang Pragang Laos,Laos Air,0,29,29
